JobTitle,Salary,CompanyName,CompanyRating,JobLocation,Summary,Date
"Data Visualization Engineer - Tableau, Spotfire",nan,Numerator,3.6,"Pune, Maharashtra",Familiarity with JSON and similar data formats.,3 days ago
Data Analytics Internship,20000 a month,Softsensor.ai,nan,"Gurgaon, Haryana",We are focused on data science and analytics for improving the process and organizational performance.,Today
Associate NLP & Text Mining Data Scientist,nan,Evolent Health,3.1,"Pune, Maharashtra",Gather external data sets; build synthetic data and label data sets as per the needs for NLP/NLR/NLU.,30+ days ago
Data Scientist,nan,Payoda,4.0,"Coimbatore, Tamil Nadu",You will have the opportunity to use big data technologies to tame real-world data science scenarios.,2 days ago
Process Executive - Data,nan,Cognizant,3.9,"Chennai, Tamil Nadu",Perform data entry of employee data base.,Today
Sr. Data Scientist,1200000 - 1600000 a year,Qwickbit technologies pvt ltd,nan,"Bengaluru, Karnataka",\* Present information using data visualization techniques.,7 days ago
Data Science Engineer,nan,Involvio,nan,"Bengaluru, Karnataka","Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc.",30+ days ago
Head of ML/Data Science,nan,Ai Health Highway India Pvt Ltd,nan,"Bengaluru, Karnataka",Head of ML/Data Science for MedTech Startup incubated in IISC Bangalore*.,5 days ago
Head Data Science-DL-,nan,Aditya Birla Group,4.1,Maharashtra,Review and sign off data model / projects.,3 days ago
"Hiring Python, Machine Learning and Data Science Trainer",20000 - 30000 a month,JNtech Networks,nan,"Noida, Uttar Pradesh","Hiring for Python, Machine Learning and Data Science Trainer At JNtech Networks.",9 days ago
Operations Intern,5000 a month,HIRECT,nan,Remote,HIRECT.in is currently searching for an energetic and COMMITTED individual in operations after sales.,Just posted
Data Science Lead,nan,D Cube Analytics,nan,"Bengaluru, Karnataka","Degree in applied math, statistics, machine learning or computer science.",30+ days ago
Junior Data Analyst,nan,Greenlight Planet,4.0,"Gurgaon, Haryana",Document data structure to make data analysis simpler across the organization.,14 days ago
Data Analyst,500000 - 700000 a year,Artifex Technologies Pvt Ltd,nan,"Chennai, Tamil Nadu",Applying logics to sanitize the data and ensure only clean data is maintained.,2 days ago
Data Science Internship,8000 - 15000 a month,Vidooly,3.5,"Noida, Uttar Pradesh",Handle data set creation/ data collection 7.,3 days ago
Software Engineer Data Science (SQL & Python),nan,SAP,4.3,"Bengaluru, Karnataka",Lead/contribute to engineering efforts from design to implementation of data extraction pipelines (ETL).,27 days ago
Data Scientist,nan,Meesho,3.6,"Bengaluru, Karnataka",Inferring insights from our existing data to identify new growth opportunities.,6 days ago
DATA SCIENTIST,nan,Rockwell Automation,3.9,"Pune, Maharashtra",Experience implementing data science models in production.,7 days ago
Junior Data Science Team Member,nan,Imurgence,nan,India,"Experience with common data science toolkits, such as R desirable.",30+ days ago
"Specialist, Data Science",nan,Invesco,4.0,"Administrative Building, Andhra Pradesh","The Data Analyst will support our research analysts, senior research management, data analysts and data scientists on data initiatives and supporting…",9 days ago
Data Integrity Specialist,nan,Cerner Corporation,3.5,"Bengaluru, Karnataka",We are excited to hire a Data Integrity Specialist for our Cerner Supply Chain team.,6 days ago
Data Analyst - Product,nan,Saavn,nan,"Mumbai, Maharashtra",Providing assistance to the Product Team with data analysis and guide the product decisions based on insights from data validation & A/B Testing.,Today
Machine Learning and Computer Vision Engineers,nan,APPIN CLIENT,nan,"Coimbatore, Tamil Nadu","Extensive data modeling, preprocessing and data architecture skills.",1 day ago
Trainer (Data science) Internship,7000 - 12000 a month,Industry360,nan,"Faridabad, Haryana",Industry360 is an industrial approach toward data science and analytics.,7 days ago
Data Science Internship,2000 a month,Arthashastra Intelligence Private Limited,nan,"Hyderabad, Telangana",Work with the directors throughout the organization to identify opportunities for leveraging company data to drive business solutions.,6 days ago
"Director, Data Science",nan,Gartner,3.7,"Gurgaon, Haryana",Establish methodologies for quickly rolling out new data analysis capabilities for standalone data-driven products and service to support our associates.,8 days ago
Machine Learning and Computer Vision Engineers,nan,APPIN CLIENT,nan,"Coimbatore, Tamil Nadu","Extensive data modeling, preprocessing and data architecture skills.",1 day ago
Trainer (Data science) Internship,7000 - 12000 a month,Industry360,nan,"Faridabad, Haryana",Industry360 is an industrial approach toward data science and analytics.,7 days ago
